Artist;Song name;Album name;Year;Genre;Length;;;;
;;;;;;;;;
;;;;;;;;;
Teoalida's Music Database;;;;;;;;;
6000+ songs that I downloaded, listened and rated according my preferrences;;;;;;;;;
Copyright 2005-2016 - www.teoalida.com/database/music;;;;;;;;;
You are not allowed to distribute or post this file on other websites!;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ace of Base;;;;;#REF!;;;;
Alan Jackson;You Can't Give Up on Love;Who I Am;1994;Country;03:06;;;;
Alan Jackson;I Don't Even Know Your Name;Who I Am;1994;Country;03:50;;;;
Alan Jackson;Song for the Life;Who I Am;1994;Country;04:32;;;;
Alan Jackson;Thank God for the Radio;Who I Am;1994;Country;03:19;;;;
Alan Jackson;All American Country Boy;Who I Am;1994;Country;03:18;;;;
Alan Jackson;Job Description;Who I Am;1994;Country;04:42;;;;
Alan Jackson;If I Had You;Who I Am;1994;Country;03:33;;;;
Alan Jackson;Let's Get Back to Me and You;Who I Am;1994;Country;02:52;;;;
Alan Jackson;Little Bitty;Everything I Love;1996;Country;02:38;;;;
Alan Jackson;Everything I Love;Everything I Love;1996;Country;03:07;;;;
Alan Jackson;Buicks to the Moon;Everything I Love;1996;Country;02:37;;;;
Alan Jackson;Between the Devil and Me;Everything I Love;1996;Country;04:21;;;;
Alan Jackson;There Goes;Everything I Love;1996;Country;03:55;;;;
Alan Jackson;A House with No Curtains;Everything I Love;1996;Country;03:25;;;;
Alan Jackson;Who's Cheatin' Who;Everything I Love;1996;Country;04:01;;;;
Alan Jackson;Walk On the Rocks;Everything I Love;1996;Country;03:30;;;;
Alan Jackson;Must've Had a Ball;Everything I Love;1996;Country;03:34;;;;
Alan Jackson;It's Time You Learned About Good-Bye;Everything I Love;1996;Country;03:13;;;;
Alan Jackson;Right On the Money;High Mileage;1998;Country;03:49;;;;
Alan Jackson;Gone Crazy;High Mileage;1998;Country;03:50;;;;
Alan Jackson;Little Man;High Mileage;1998;Country;04:27;;;;
Alan Jackson;What a Day Yesterday Was;High Mileage;1998;Country;03:46;;;;
Alan Jackson;Hurtin' Comes Easy;High Mileage;1998;Country;03:01;;;;
Alan Jackson;I'll Go on Loving You;High Mileage;1998;Country;03:57;;;;
Alan Jackson;Another Good Reason;High Mileage;1998;Country;04:27;;;;
Alan Jackson;A Woman's Love;High Mileage;1998;Country;03:52;;;;
Alan Jackson;Dancin' All Around It;High Mileage;1998;Country;02:56;;;;
Alan Jackson;Amarillo;High Mileage;1998;Country;04:11;;;;
Alan Jackson;Pop a Top;Under the Influence;1999;Country;03:05;;;;
Alan Jackson;Farewell Party;Under the Influence;1999;Country;04:07;;;;
Alan Jackson;Kiss an Angel Good Mornin';Under the Influence;1999;Country;02:05;;;;
Alan Jackson;Right in the Palm of Your Hand;Under the Influence;1999;Country;03:39;;;;
Alan Jackson;The Blues Man: A Tribute to Hank Williams Jr.;Under the Influence;1999;Country;07:05;;;;
Alan Jackson;Revenooer Man;Under the Influence;1999;Country;02:33;;;;
Alan Jackson;My Own Kind of Hat;Under the Influence;1999;Country;03:22;;;;
Alan Jackson;She Just Started Liking Cheatin' Songs;Under the Influence;1999;Country;02:43;;;;
Alan Jackson;The Way I Am;Under the Influence;1999;Country;03:05;;;;
